DATE,GEOGRAPHY_LEVEL,GEOGRAPHY_NAME,FIPS,DEMOGRAPHIC_GROUP,DEMOGRAPHIC_CATEGORY,PARTIALLY_OR_FULLY_VACCINATED_PERSONS,FULLY_VACCINATED_PERSONS,POPULATION,PARTIALLY_OF_FULLY_VACCINATED_PERCENT,FULLY_VACCINATED_PERCENT,TOTAL_DOSES_ADMINISTERED,TOTAL_DOSES_DISTRIBUTED,SOURCEINFO,USAFACTS_INGESTION_DATE
"2021-02-02","State","Marshall Islands","XX","Total","Total","3844.00000","376.00000","58413.00000","0.06580726893","0.00643692329","4258.00000","13600.00000","CDC State and National Vaccination Data","2021-02-03T08:25:20.455Z"
"2021-02-22","Nation","United States","00","Total","Total","44138118.00000","19438495.00000","331996199.00000","0.13294766064","0.05855035407","64177474.00000","75205940.00000","CDC State and National Vaccination Data","2021-02-23T08:25:27.716Z"
"2021-03-19","State","Indian Health Svc","XX","Total","Total","522791.00000","288947.00000","2082813.00000","0.25100237035","0.13872920901","814515.00000","1356155.00000","CDC State and National Vaccination Data","2021-03-20T09:25:36.418Z"
"2021-03-03","State","Veterans Health","XX","Total","Total","1565132.00000","853672.00000","NULL","NULL","NULL","2420189.00000","2779685.00000","CDC State and National Vaccination Data","2021-03-04T08:25:36.507Z"
"2021-04-02","Nation","United States","00","Total","Total","101804762.00000","57984785.00000","331996199.00000","0.30664436011","0.17465496646","157606463.00000","204719335.00000","CDC State and National Vaccination Data","2021-04-03T09:26:31.177Z"
"2021-03-27","State","Dept of Defense","XX","Total","Total","1153904.00000","642985.00000","NULL","NULL","NULL","1827620.00000","2405690.00000","CDC State and National Vaccination Data","2021-03-28T09:25:42.542Z"
"2021-01-25","State","Indian Health Svc","XX","Total","Total","130085.00000","24145.00000","NULL","NULL","NULL","155529.00000","357850.00000","CDC State and National Vaccination Data","2021-02-01T12:26:49.463Z"
"2021-02-27","Nation","United States","00","Total","Total","48435536.00000","23698627.00000","331996199.00000","0.14589183896","0.07138222387","72806180.00000","96402290.00000","CDC State and National Vaccination Data","2021-02-28T08:25:20.364Z"
"2021-02-18","State","Bureau of Prisons","XX","Total","Total","31146.00000","17789.00000","NULL","NULL","NULL","49050.00000","45725.00000","CDC State and National Vaccination Data","2021-02-19T12:25:26.212Z"
"2021-06-09","State","Republic of Palau","XX","Total","Total","13802.00000","12482.00000","17907.00000","0.77076003797","0.69704584799","24369.00000","24600.00000","CDC State and National Vaccination Data","2021-06-10T13:25:23.153Z"
"2021-02-28","State","Dept of Defense","XX","Total","Total","678654.00000","303314.00000","NULL","NULL","NULL","992748.00000","1434935.00000","CDC State and National Vaccination Data","2021-03-01T08:25:19.651Z"
"2021-02-27","State","Bureau of Prisons","XX","Total","Total","36064.00000","22939.00000","NULL","NULL","NULL","59234.00000","57155.00000","CDC State and National Vaccination Data","2021-02-28T08:25:20.364Z"
"2021-01-25","Nation","United States","00","Total","Total","19252279.00000","3346390.00000","331996199.00000","0.05798945608","0.01007960335","22734243.00000","41418325.00000","CDC State and National Vaccination Data","2021-02-01T12:25:50.820Z"
"2021-03-30","State","Dept of Defense","XX","Total","Total","1197277.00000","668695.00000","NULL","NULL","NULL","1895711.00000","2448590.00000","CDC State and National Vaccination Data","2021-03-31T09:25:13.761Z"
"2021-06-18","State","Bureau of Prisons","XX","Total","Total","104616.00000","94327.00000","NULL","NULL","NULL","191933.00000","199720.00000","CDC State and National Vaccination Data","2021-06-19T09:25:15.002Z"
"2021-03-20","Nation","United States","00","Total","Total","79367225.00000","43036818.00000","331996199.00000","0.23906064358","0.12963045399","121441497.00000","156734555.00000","CDC State and National Vaccination Data","2021-03-21T09:25:45.604Z"
"2021-06-15","State","Bureau of Prisons","XX","Total","Total","103768.00000","93125.00000","NULL","NULL","NULL","190058.00000","198260.00000","CDC State and National Vaccination Data","2021-06-16T09:25:18.005Z"
"2021-04-07","State","Veterans Health","XX","Total","Total","2432895.00000","1844382.00000","NULL","NULL","NULL","4226738.00000","5393655.00000","CDC State and National Vaccination Data","2021-04-08T09:26:27.246Z"
"2021-04-23","State","Indian Health Svc","XX","Total","Total","698116.00000","509289.00000","2082813.00000","0.33517939441","0.24451979126","1195580.00000","1669825.00000","CDC State and National Vaccination Data","2021-04-24T09:25:15.070Z"
"2021-02-17","State","Dept of Defense","XX","Total","Total","566933.00000","181856.00000","NULL","NULL","NULL","759117.00000","1102225.00000","CDC State and National Vaccination Data","2021-02-18T08:25:13.866Z"
"2021-05-27","State","Republic of Palau","XX","Total","Total","13166.00000","11965.00000","17907.00000","0.73524320098","0.66817445692","23549.00000","24600.00000","CDC State and National Vaccination Data","2021-05-28T09:25:18.187Z"
"2021-02-18","State","Veterans Health","XX","Total","Total","1251428.00000","521010.00000","NULL","NULL","NULL","1773677.00000","2111750.00000","CDC State and National Vaccination Data","2021-02-19T12:25:26.212Z"
"2021-06-06","State","Federated States of Micronesia","XX","Total","Total","26314.00000","21368.00000","103643.00000","0.25389075963","0.20616925407","44917.00000","77800.00000","CDC State and National Vaccination Data","2021-06-07T09:25:15.568Z"
"2021-05-08","State","Federated States of Micronesia","XX","Total","Total","21833.00000","15771.00000","103643.00000","0.21065580888","0.15216657179","37135.00000","63200.00000","CDC State and National Vaccination Data","2021-05-09T09:25:14.746Z"
"2021-01-21","State","Bureau of Prisons","XX","Total","Total","17003.00000","3800.00000","NULL","NULL","NULL","20838.00000","24750.00000","CDC State and National Vaccination Data","2021-02-01T12:22:39.511Z"
"2021-01-23","State","Veterans Health","XX","Total","Total","529784.00000","93168.00000","NULL","NULL","NULL","623590.00000","1151525.00000","CDC State and National Vaccination Data","2021-02-01T12:24:49.543Z"
"2021-04-06","State","Marshall Islands","XX","Total","Total","13031.00000","8874.00000","58413.00000","0.22308390256","0.15191823738","21952.00000","35800.00000","CDC State and National Vaccination Data","2021-04-07T09:26:43.698Z"
"2021-04-19","State","Federated States of Micronesia","XX","Total","Total","18472.00000","11520.00000","103643.00000","0.17822718370","0.11115077719","29846.00000","63200.00000","CDC State and National Vaccination Data","2021-04-20T13:25:13.813Z"
"2021-05-09","State","Bureau of Prisons","XX","Total","Total","92403.00000","74088.00000","NULL","NULL","NULL","163752.00000","169240.00000","CDC State and National Vaccination Data","2021-05-10T09:25:23.931Z"
"2021-05-19","State","Bureau of Prisons","XX","Total","Total","96101.00000","79649.00000","NULL","NULL","NULL","172022.00000","182350.00000","CDC State and National Vaccination Data","2021-05-20T09:25:24.524Z"
"2021-04-11","State","Dept of Defense","XX","Total","Total","1468618.00000","812924.00000","NULL","NULL","NULL","2309348.00000","3009640.00000","CDC State and National Vaccination Data","2021-04-12T09:26:37.000Z"
"2021-04-11","State","Republic of Palau","XX","Total","Total","8470.00000","6407.00000","17907.00000","0.47299938572","0.35779304183","14533.00000","24600.00000","CDC State and National Vaccination Data","2021-04-12T09:26:37.000Z"
"2021-06-02","State","Bureau of Prisons","XX","Total","Total","100850.00000","87342.00000","NULL","NULL","NULL","182706.00000","190340.00000","CDC State and National Vaccination Data","2021-06-03T09:25:18.807Z"
"2021-04-20","State","Dept of Defense","XX","Total","Total","1626059.00000","943158.00000","NULL","NULL","NULL","2585082.00000","3295730.00000","CDC State and National Vaccination Data","2021-04-21T09:25:29.727Z"
"2021-01-24","State","Bureau of Prisons","XX","Total","Total","18965.00000","5044.00000","NULL","NULL","NULL","24082.00000","24750.00000","CDC State and National Vaccination Data","2021-02-01T12:25:42.283Z"
